id,Title,Type,Volumes,releaseData,endData,page_url,image_url,,,,
,Youkai Niisan,Manga,4,2015,2017,https://myanimelist.net/manga/110492/Youkai_Niisan,https://cdn.myanimelist.net/r/100x140/images/manga/3/202968.jpg?s=e2dd0509b200a33f69b622fb6a0d9f80,,,,
,Mamacolle,Manga,4,,,https://myanimelist.net/manga/2584/Mamacolle,https://cdn.myanimelist.net/r/100x140/images/manga/3/19669.jpg?s=8a9bdd7857a7d4bdae14838b5b01e050,,,,
,DoLL,Manga,2,2008,2009,https://myanimelist.net/manga/13796/DoLL,https://cdn.myanimelist.net/r/100x140/images/manga/3/58489.jpg?s=398c5299972a89d3fc146aa2050d0c6b,,,,
,Amaesasete Hinamori-san!,Manga,,2021,,https://myanimelist.net/manga/140466/Amaesasete_Hinamori-san,https://cdn.myanimelist.net/r/100x140/images/manga/1/257268.jpg?s=2439e685897213a2655f428963905c7e,,,,
,Sensor,Manga,1,2018,2019,https://myanimelist.net/manga/115507/Sensor,https://cdn.myanimelist.net/r/100x140/images/manga/1/224108.jpg?s=859de571570ffa1df0b55fe71776a81e,,,,
,Kaikisen,Manga,1,1990,1990,https://myanimelist.net/manga/5427/Kaikisen,https://cdn.myanimelist.net/r/100x140/images/manga/3/157831.jpg?s=a253c1934b98f561915de2393e6df57f,,,,
,Boku wa Oneko-sama no Geboku desu.,Manga,4,2019,2021,https://myanimelist.net/manga/133651/Boku_wa_Oneko-sama_no_Geboku_desu,https://cdn.myanimelist.net/r/100x140/images/manga/2/241159.jpg?s=d6209a6d7ee44136be02dae27165d0a4,,,,
,Hetamen,Manga,3,2011,2012,https://myanimelist.net/manga/39795/Hetamen,https://cdn.myanimelist.net/r/100x140/images/manga/4/127421.jpg?s=a987033399e8d5b3b927d4177e437c13,,,,
,Toscana no Yuuutsu,Manga,1,2010,2010,https://myanimelist.net/manga/51293/Toscana_no_Yuuutsu,https://cdn.myanimelist.net/r/100x140/images/manga/3/94461.jpg?s=8b5561521c08db351a9d0738d36a7816,,,,
,Kanda-kun to Serizawa-san,One-shot,,2016,2016,https://myanimelist.net/manga/109199/Kanda-kun_to_Serizawa-san,https://cdn.myanimelist.net/r/100x140/images/manga/2/199969.jpg?s=072dea8d6eae55e1b6cbb8f1f74e287f,,,,
,Aibu de Jirashite,Manga,1,2009,2012,https://myanimelist.net/manga/85943/Aibu_de_Jirashite,https://cdn.myanimelist.net/r/100x140/images/manga/1/149455.jpg?s=175b93ff43e51f019176b92a65a10b6e,,,,
,Durarara!!,Light-Novel,13,2004,2014,https://myanimelist.net/manga/16816/Durarara,https://cdn.myanimelist.net/r/100x140/images/manga/2/28766.jpg?s=752243c94ac9dc6472962ffa23f7d339,,,,
,Hiiragi-san Chi no Kyuuketsu Jijou,Manga,,2021,,https://myanimelist.net/manga/140912/Hiiragi-san_Chi_no_Kyuuketsu_Jijou,https://cdn.myanimelist.net/r/100x140/images/manga/2/259581.jpg?s=d3c672e4b7230d1f12f2ec7a7009e417,,,,
,Rubbers 7,Manga,7,2002,2007,https://myanimelist.net/manga/3079/Rubbers_7,https://cdn.myanimelist.net/r/100x140/images/manga/3/3353.jpg?s=0b80aee1240b12209082815512310b49,,,,
,Cocoa!,Manga,1,2004,,https://myanimelist.net/manga/9837/Cocoa,https://cdn.myanimelist.net/r/100x140/images/manga/1/23346.jpg?s=9acbcdaef413c73dbc617dc4aa295bf5,,,,
,Bamboo Blade,Manga,14,2004,2010,https://myanimelist.net/manga/720/Bamboo_Blade,https://cdn.myanimelist.net/r/100x140/images/manga/1/28784.jpg?s=5876a6f1c071c7e5934764867e366521,,,,
,Subarashiki Kono Sekai,Manga,,2007,2007,https://myanimelist.net/manga/7162/Subarashiki_Kono_Sekai,https://cdn.myanimelist.net/r/100x140/images/manga/1/11540.jpg?s=3ac1a3c56dec36ec420432a79a05f68e,,,,
,Chou no Ito,One-shot,,2014,2014,https://myanimelist.net/manga/86346/Chou_no_Ito,https://cdn.myanimelist.net/r/100x140/images/manga/3/150031.jpg?s=49d4a57124e1c54214355a7efd19616e,,,,
,Flower of Life,Manga,4,2004,2007,https://myanimelist.net/manga/250/Flower_of_Life,https://cdn.myanimelist.net/r/100x140/images/manga/5/29557.jpg?s=243364009ad81f95fd74677e8259c132,,,,
,Starting Gate!: Uma Musume Pretty Derby,Manga,6,2017,2019,https://myanimelist.net/manga/106804/Starting_Gate__Uma_Musume_Pretty_Derby,https://cdn.myanimelist.net/r/100x140/images/manga/3/198435.jpg?s=8492a9fd5ca44110d7fa5d4d420ed6e2,,,,
,Shoujo Tsubaki,Manga,1,1984,1984,https://myanimelist.net/manga/9057/Shoujo_Tsubaki,https://cdn.myanimelist.net/r/100x140/images/manga/5/176724.jpg?s=0c5ddddbbaf48a34fadb0a299010bc53,,,,
,Chuu x2 Trap,Manga,,2012,2012,https://myanimelist.net/manga/45381/Chuu_x2_Trap,https://cdn.myanimelist.net/r/100x140/images/manga/1/80149.jpg?s=e347467c036576daa41bc0fa8177318c,,,,
,Kurasu Hako,Manga,1,2010,2013,https://myanimelist.net/manga/116154/Kurasu_Hako,https://cdn.myanimelist.net/r/100x140/images/manga/2/223775.jpg?s=715edf4a1d6100fd8679b48720412fc6,,,,
,Koishitagari no Blue,Manga,6,2007,2009,https://myanimelist.net/manga/9122/Koishitagari_no_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/2/261608.jpg?s=fd3f0c17ed037d579503fd7157be87ef,,,,
,Uncanny Brains,Manga,2,2013,2014,https://myanimelist.net/manga/61635/Uncanny_Brains,https://cdn.myanimelist.net/r/100x140/images/manga/3/106185.jpg?s=86226c674449ae7126a97ce43053e5f6,,,,
,Shinreigari: Another Side,Manga,2,2007,2007,https://myanimelist.net/manga/10743/Shinreigari__Another_Side,https://cdn.myanimelist.net/r/100x140/images/manga/2/99699.jpg?s=1424ba976e17a46ff6c24e9c79638025,,,,
,Otomegokoro,Manga,2,2008,2008,https://myanimelist.net/manga/8974/Otomegokoro,https://cdn.myanimelist.net/r/100x140/images/manga/3/12237.jpg?s=9d6b84bafaf799140bdc0611ca9537d3,,,,
,Kengan Ashura 0,Manga,1,2015,2015,https://myanimelist.net/manga/115098/Kengan_Ashura_0,https://cdn.myanimelist.net/r/100x140/images/manga/3/225037.jpg?s=47b2a0d5d111aefc370286389e7db100,,,,
,Love Hina: Special Project,One-shot,,2010,2010,https://myanimelist.net/manga/21883/Love_Hina__Special_Project,https://cdn.myanimelist.net/r/100x140/images/manga/5/35733.jpg?s=a80d5b138a00f794c58b0122e0d3ca50,,,,
,Rin-chan Now,Manga,3,2013,2014,https://myanimelist.net/manga/65091/Rin-chan_Now,https://cdn.myanimelist.net/r/100x140/images/manga/1/194943.jpg?s=1fb69422c995fd51a26290e868a8defa,,,,
,Kimi no Uta ga Aru,Manga,3,,,https://myanimelist.net/manga/21305/Kimi_no_Uta_ga_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/3/34311.jpg?s=eeb73fbab15026533306d94ec3ad374f,,,,
