id,Title,Type,Volumes,releaseData,endData,page_url,image_url,,,,
,Tsuki to Odoriko,One-shot,,2013,2013,https://myanimelist.net/manga/62335/Tsuki_to_Odoriko,https://cdn.myanimelist.net/r/100x140/images/manga/1/107043.jpg?s=685caf1dcadbe1a99d3ed67b112659d6,,,,
,Gigant,Manga,10,2017,2021,https://myanimelist.net/manga/110727/Gigant,https://cdn.myanimelist.net/r/100x140/images/manga/1/210342.jpg?s=185465786765ee82a9b574f844079c10,,,,
,"Wagamama Oujo ni Tsukaeta Bannou Shitsuji, Tonari no Teikoku de Saikyou no Gunjin ni Nariagari Musou suru",Manga,,2021,,https://myanimelist.net/manga/145664/Wagamama_Oujo_ni_Tsukaeta_Bannou_Shitsuji_Tonari_no_Teikoku_de_Saikyou_no_Gunjin_ni_Nariagari_Musou_suru,https://cdn.myanimelist.net/r/100x140/images/manga/1/258109.jpg?s=03a1031266755b4ff104238affd4f978,,,,
,High Spec Lovers,One-shot,,2013,2013,https://myanimelist.net/manga/52135/High_Spec_Lovers,https://cdn.myanimelist.net/r/100x140/images/manga/1/92063.jpg?s=522af2e9105a4f5e842f2b7b4a32bbdd,,,,
,The Great Wizard Transcendent,Manhwa,,2022,,https://myanimelist.net/manga/153859/The_Great_Wizard_Transcendent,https://cdn.myanimelist.net/r/100x140/images/manga/1/272836.jpg?s=8273637f6485aa600214b1eb2c044b25,,,,
,Kuhime,Manga,4,2015,2017,https://myanimelist.net/manga/99733/Kuhime,https://cdn.myanimelist.net/r/100x140/images/manga/2/180796.jpg?s=a9036863b5374c93fbf9080e35156c9a,,,,
,Baku to Nemurihime,One-shot,,2013,2013,https://myanimelist.net/manga/75587/Baku_to_Nemurihime,https://cdn.myanimelist.net/r/100x140/images/manga/3/130937.jpg?s=f4fc4e6ac92bbf153f6f24ef60f17abc,,,,
,The Infinite Mage,Manhwa,,2022,,https://myanimelist.net/manga/154692/The_Infinite_Mage,https://cdn.myanimelist.net/r/100x140/images/manga/2/274476.jpg?s=4b4b554b55011fd96f1a4149b9236626,,,,
,Bishounen no Koi,Manga,1,,,https://myanimelist.net/manga/2515/Bishounen_no_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/2/2708.jpg?s=85a72389b41026a48d88a188f816c03d,,,,
,Himeno-chan ni Koi wa Mada Hayai,Manga,7,2018,2021,https://myanimelist.net/manga/115068/Himeno-chan_ni_Koi_wa_Mada_Hayai,https://cdn.myanimelist.net/r/100x140/images/manga/2/215993.jpg?s=7d06340f6e767e37cd826a41eddaa06f,,,,
,Onna Kyoushi,Manga,1,,,https://myanimelist.net/manga/21441/Onna_Kyoushi,https://cdn.myanimelist.net/r/100x140/images/manga/3/34567.jpg?s=5c56002d27435ee8e1d1a01616bb013f,,,,
,Horimiya,Manga,16,2011,2021,https://myanimelist.net/manga/42451/Horimiya,https://cdn.myanimelist.net/r/100x140/images/manga/2/245008.jpg?s=66aaa354bf77a0d126351dcc5f225044,,,,
,Rojiura no Mahou Tantei Jimusho,One-shot,,,,https://myanimelist.net/manga/41567/Rojiura_no_Mahou_Tantei_Jimusho,https://cdn.myanimelist.net/r/100x140/images/manga/3/72813.jpg?s=2bdb2b7354318ddb7ec1ee4ce1fab1dd,,,,
,"Tenkousei, Ridatsu suru",One-shot,,2015,2015,https://myanimelist.net/manga/95509/Tenkousei_Ridatsu_suru,https://cdn.myanimelist.net/r/100x140/images/manga/3/170422.jpg?s=99a193a8b419fd7a5db800bd2fdeec3f,,,,
,Gantz:G,Manga,3,2015,2017,https://myanimelist.net/manga/93677/Gantz_G,https://cdn.myanimelist.net/r/100x140/images/manga/3/192968.jpg?s=79bf82644410b8cc424926de4505ae8d,,,,
,Kao dake ja Suki ni Narimasen,Manga,,2020,,https://myanimelist.net/manga/132949/Kao_dake_ja_Suki_ni_Narimasen,https://cdn.myanimelist.net/r/100x140/images/manga/3/240024.jpg?s=8be03551d37fcbd271a3bd016533fba1,,,,
,Lucky☆Star,Manga,,2003,,https://myanimelist.net/manga/587/Lucky☆Star,https://cdn.myanimelist.net/r/100x140/images/manga/3/265400.jpg?s=cb1970baec01a1ec323a8ca176167520,,,,
,Sugar Sugar Rune,Manga,8,2003,2007,https://myanimelist.net/manga/429/Sugar_Sugar_Rune,https://cdn.myanimelist.net/r/100x140/images/manga/2/263709.jpg?s=f317f6dd032fb753bd3057de4ba07c79,,,,
,Sweet Valerian,Manga,1,,,https://myanimelist.net/manga/3309/Sweet_Valerian,https://cdn.myanimelist.net/r/100x140/images/manga/2/3645.jpg?s=a54ab2e9a25df755b081fe1ea8185524,,,,
,Ikenai Teacher☆Iketeru Darling,Manga,2,,,https://myanimelist.net/manga/4308/Ikenai_Teacher☆Iketeru_Darling,https://cdn.myanimelist.net/r/100x140/images/manga/5/28437.jpg?s=a522a18dd2931e46f7f6b5850d62700d,,,,
,Brilliant na Mahou,Manga,3,2001,2002,https://myanimelist.net/manga/3077/Brilliant_na_Mahou,https://cdn.myanimelist.net/r/100x140/images/manga/2/164442.jpg?s=dc1b8388c59967520ce90497fbbe138a,,,,
,Debut or Die,Manhwa,,2022,,https://myanimelist.net/manga/151061/Debut_or_Die,https://cdn.myanimelist.net/r/100x140/images/manga/3/283354.jpg?s=b86a6c71a721fd7b348273ee200e0ef3,,,,
,Hoppe ni Himawari,Manga,1,2012,2013,https://myanimelist.net/manga/48523/Hoppe_ni_Himawari,https://cdn.myanimelist.net/r/100x140/images/manga/1/117689.jpg?s=889a51f726b70624eb92bcfa8827e7cb,,,,
,Tadashii Ace no Kouryakuhou,Manga,1,2011,2013,https://myanimelist.net/manga/47635/Tadashii_Ace_no_Kouryakuhou,https://cdn.myanimelist.net/r/100x140/images/manga/1/96217.jpg?s=ea419435dc89c5c662b903b9e78312be,,,,
,Hitomi no Mukougawa,Manga,1,2001,2001,https://myanimelist.net/manga/7528/Hitomi_no_Mukougawa,https://cdn.myanimelist.net/r/100x140/images/manga/1/10286.jpg?s=f73ee5871250152ada26cda1337f2122,,,,
,Wasurene no Language,One-shot,,,,https://myanimelist.net/manga/7190/Wasurene_no_Language,https://cdn.myanimelist.net/r/100x140/images/manga/3/11663.jpg?s=a73ca448e277562b99cd70010a7999b7,,,,
,Choukyoushi,Manga,1,,,https://myanimelist.net/manga/22513/Choukyoushi,https://cdn.myanimelist.net/r/100x140/images/manga/3/36524.jpg?s=3a5048759f83bd612af3ad83aaec5520,,,,
,Mado,One-shot,,2004,2004,https://myanimelist.net/manga/6874/Mado,https://cdn.myanimelist.net/r/100x140/images/manga/1/129605.jpg?s=92cd01c7ff6f9a3c5566dcfb73e35882,,,,
,Battle Royale II: Blitz Royale,Manga,2,2003,2004,https://myanimelist.net/manga/2177/Battle_Royale_II__Blitz_Royale,https://cdn.myanimelist.net/r/100x140/images/manga/1/200210.jpg?s=1cbe5a4d01ca630db049cc3ae8557ae3,,,,
,Romantic Killer,Manga,4,2019,2020,https://myanimelist.net/manga/127138/Romantic_Killer,https://cdn.myanimelist.net/r/100x140/images/manga/1/236232.jpg?s=140da9f7bd9d73fc66981df9fecb8971,,,,
,Intellectual Village no Zashiki Warashi,Light-Novel,9,2012,2015,https://myanimelist.net/manga/43693/Intellectual_Village_no_Zashiki_Warashi,https://cdn.myanimelist.net/r/100x140/images/manga/1/175614.jpg?s=b03ca105edf000ff2d637d90be0db554,,,,
,Hungry Joker,Manga,3,2012,2013,https://myanimelist.net/manga/45221/Hungry_Joker,https://cdn.myanimelist.net/r/100x140/images/manga/3/88095.jpg?s=81a49757673a05f258b0b340dc25b55b,,,,
,Renai Kyoushuujo,Manga,1,,,https://myanimelist.net/manga/17217/Renai_Kyoushuujo,https://cdn.myanimelist.net/r/100x140/images/manga/1/261576.jpg?s=72dee65102770da2dd3928fc074ba489,,,,
,Ijimerarekko,Manga,1,2011,2011,https://myanimelist.net/manga/50503/Ijimerarekko,https://cdn.myanimelist.net/r/100x140/images/manga/1/89673.jpg?s=85dbfd818e0bbebc9cfe5dd7b00fdefc,,,,
,Neko ga Nishi Mukya,Manga,3,2018,2020,https://myanimelist.net/manga/113869/Neko_ga_Nishi_Mukya,https://cdn.myanimelist.net/r/100x140/images/manga/1/216477.jpg?s=086e4973e80b25371d8b89f64aee7d93,,,,
,Romantica Clock,Manga,10,2012,2016,https://myanimelist.net/manga/43741/Romantica_Clock,https://cdn.myanimelist.net/r/100x140/images/manga/1/179832.jpg?s=39a1bf47395b3b5cdb33e7429d94df73,,,,
,Joujuu Senjin!! Mushibugyou,Manga,32,2011,2017,https://myanimelist.net/manga/36717/Joujuu_Senjin_Mushibugyou,https://cdn.myanimelist.net/r/100x140/images/manga/2/169921.jpg?s=2ba229325b6f3529a2fd33149f884526,,,,
,Koro-sensei Q!,Manga,5,2015,2019,https://myanimelist.net/manga/93353/Koro-sensei_Q,https://cdn.myanimelist.net/r/100x140/images/manga/1/186156.jpg?s=0d0a69e3e36f09e3063a54fd1606c92f,,,,
,Kikaijikake no Marie,Manga,,2020,,https://myanimelist.net/manga/132397/Kikaijikake_no_Marie,https://cdn.myanimelist.net/r/100x140/images/manga/2/239155.jpg?s=52ae663cd351f232e4bf7703173c70bd,,,,
,Shin Seitokai no Ichizon,Manga,3,2013,2014,https://myanimelist.net/manga/56735/Shin_Seitokai_no_Ichizon,https://cdn.myanimelist.net/r/100x140/images/manga/3/98617.jpg?s=33f548dbc105a91925c582e87044e023,,,,
,Tsujiura-san to Chupacabra,Manga,4,2014,2015,https://myanimelist.net/manga/84803/Tsujiura-san_to_Chupacabra,https://cdn.myanimelist.net/r/100x140/images/manga/2/164351.jpg?s=cd5a463b39325770292b4f48e49426a8,,,,
,Ouji-sama to Haiiro no Hibi,Manga,4,2011,2013,https://myanimelist.net/manga/30567/Ouji-sama_to_Haiiro_no_Hibi,https://cdn.myanimelist.net/r/100x140/images/manga/3/59523.jpg?s=d7b0e6c6645229c1ac6b86a24abb5cd4,,,,
,Kajiya de Hajimeru Isekai Slow Life,Manga,,2020,,https://myanimelist.net/manga/131763/Kajiya_de_Hajimeru_Isekai_Slow_Life,https://cdn.myanimelist.net/r/100x140/images/manga/3/241629.jpg?s=68804f24bbab7758f7d66f7112eb42b0,,,,
,Plastic Girl,Manga,1,1998,1999,https://myanimelist.net/manga/15247/Plastic_Girl,https://cdn.myanimelist.net/r/100x140/images/manga/3/22154.jpg?s=5fa903a052ee826f588f41e547dbeff8,,,,
,Shishunki Miman Okotowari Kanketsuhen,Manga,1,2000,2000,https://myanimelist.net/manga/185/Shishunki_Miman_Okotowari_Kanketsuhen,https://cdn.myanimelist.net/r/100x140/images/manga/1/88965.jpg?s=7ed02b56069a25c5e3fdedc0cdcdb621,,,,
,Romance Dawn,One-shot,,,,https://myanimelist.net/manga/5114/Romance_Dawn,https://cdn.myanimelist.net/r/100x140/images/manga/1/263631.jpg?s=7f3e5c0eba9ac8aba41aec64c6c65a93,,,,
,Loss Time ni Hanamuke wo,Manga,1,2021,2022,https://myanimelist.net/manga/152092/Loss_Time_ni_Hanamuke_wo,https://cdn.myanimelist.net/r/100x140/images/manga/3/270108.jpg?s=28e8587f70d67abf1daf0a11996dfc27,,,,
,Love Catalogue,Manga,34,1995,2007,https://myanimelist.net/manga/5186/Love_Catalogue,https://cdn.myanimelist.net/r/100x140/images/manga/1/261032.jpg?s=b6e48bd3e99218140f86013ffd50a69f,,,,
,Acma:Game,Manga,22,2013,2017,https://myanimelist.net/manga/69505/Acma_Game,https://cdn.myanimelist.net/r/100x140/images/manga/1/164639.jpg?s=0235686b950901cd47626967bb2b2793,,,,
,Tsukiyo no Fromage,Manga,,,,https://myanimelist.net/manga/7754/Tsukiyo_no_Fromage,https://cdn.myanimelist.net/r/100x140/images/manga/3/10575.jpg?s=0be23847f7ee9fd36534d2d87158f529,,,,
,Inu ni Nattara Suki na Hito ni Hirowareta.,Manga,,2020,,https://myanimelist.net/manga/128634/Inu_ni_Nattara_Suki_na_Hito_ni_Hirowareta,https://cdn.myanimelist.net/r/100x140/images/manga/1/237526.jpg?s=9e81c9e1b42a86e7bfc8300c21f03e32,,,,
,Jigokuren: Love in the Hell,Manga,3,2011,2013,https://myanimelist.net/manga/30977/Jigokuren__Love_in_the_Hell,https://cdn.myanimelist.net/r/100x140/images/manga/2/188893.jpg?s=b483592d9eec89d74419f31232509b29,,,,
,Haru to Arashi,Manga,2,2020,2021,https://myanimelist.net/manga/132667/Haru_to_Arashi,https://cdn.myanimelist.net/r/100x140/images/manga/1/241460.jpg?s=0d4aa99670c6a33e95a978ebd1d7e5a1,,,,
,Romance Papa,Manhwa,8,2007,2008,https://myanimelist.net/manga/5918/Romance_Papa,https://cdn.myanimelist.net/r/100x140/images/manga/4/30307.jpg?s=e5517c3d95d016f3d9d232d543574c58,,,,
,Andante,Manga,3,2001,2002,https://myanimelist.net/manga/831/Andante,https://cdn.myanimelist.net/r/100x140/images/manga/3/175965.jpg?s=1546907a2b292545998df55ee3cf0975,,,,
,Worst Gaiden,Manga,1,2009,2009,https://myanimelist.net/manga/16330/Worst_Gaiden,https://cdn.myanimelist.net/r/100x140/images/manga/1/25262.jpg?s=ace18992aa2c3f6ff62c7444c78d19b1,,,,
,Unmei ni KISS,Manga,1,,,https://myanimelist.net/manga/3144/Unmei_ni_KISS,https://cdn.myanimelist.net/r/100x140/images/manga/5/146827.jpg?s=f3fe0f073f0193fae382adc2c1a7a647,,,,
,Ike Ike! Sakura,Manga,4,,,https://myanimelist.net/manga/4677/Ike_Ike_Sakura,https://cdn.myanimelist.net/r/100x140/images/manga/1/5770.jpg?s=1d54efa1f65092db17d29421ed5159c6,,,,
,Motto Oshiete♡,Manga,1,2003,2003,https://myanimelist.net/manga/2982/Motto_Oshiete♡,https://cdn.myanimelist.net/r/100x140/images/manga/2/143883.jpg?s=ea107e22341548858a5ea7dd61c5ea97,,,,
,Pure Trance,Manga,1,,,https://myanimelist.net/manga/1359/Pure_Trance,https://cdn.myanimelist.net/r/100x140/images/manga/1/1171.jpg?s=09067c042598b69751b2a0a145b426cf,,,,
,Suzuran Techou,Manga,1,2007,2013,https://myanimelist.net/manga/61431/Suzuran_Techou,https://cdn.myanimelist.net/r/100x140/images/manga/3/105837.jpg?s=6efd6c23667e0f0e5e0a09320c67e4d8,,,,
,Shakaijin Yuri Anthology,Manga,,2018,,https://myanimelist.net/manga/114158/Shakaijin_Yuri_Anthology,https://cdn.myanimelist.net/r/100x140/images/manga/1/227370.jpg?s=89bb2c9ee0e18d33237ae173a7365a29,,,,
,"Yuusha, Yamemasu",Manga,,2018,,https://myanimelist.net/manga/115501/Yuusha_Yamemasu,https://cdn.myanimelist.net/r/100x140/images/manga/2/212662.jpg?s=db4a0995ef1ab5eb9c24109a270c8c05,,,,
,GT-giRl,Manga,,2020,,https://myanimelist.net/manga/132319/GT-giRl,https://cdn.myanimelist.net/r/100x140/images/manga/2/244059.jpg?s=14fc4f364c64e78163eda8e773dcf90b,,,,
,Doublets,Manga,,,,https://myanimelist.net/manga/16480/Doublets,https://cdn.myanimelist.net/r/100x140/images/manga/1/24298.jpg?s=a4b89c111db47a9d2a80a6cebd99ffd4,,,,
,R-18 Love Report!,Manga,4,,,https://myanimelist.net/manga/4694/R-18_Love_Report,https://cdn.myanimelist.net/r/100x140/images/manga/3/5791.jpg?s=55ec1dc1a7263d39fd90b53d66eda39f,,,,
,Hetalia Axis Powers,Manga,6,2008,2013,https://myanimelist.net/manga/8878/Hetalia_Axis_Powers,https://cdn.myanimelist.net/r/100x140/images/manga/2/255193.jpg?s=82e157807d6e9895dfe2490182f6876d,,,,
,Kitsune no Yomeiri,Manga,7,2008,2011,https://myanimelist.net/manga/7403/Kitsune_no_Yomeiri,https://cdn.myanimelist.net/r/100x140/images/manga/1/24962.jpg?s=0dc75d9dd44c9dd3bde9a007bcd69169,,,,
,Mint de Kiss Me,Manga,1,,,https://myanimelist.net/manga/1884/Mint_de_Kiss_Me,https://cdn.myanimelist.net/r/100x140/images/manga/3/258984.jpg?s=0e5992981ec5895bbf4c2a2c40079989,,,,
,Ketchup Mayonnaise,Manga,1,1999,,https://myanimelist.net/manga/21512/Ketchup_Mayonnaise,https://cdn.myanimelist.net/r/100x140/images/manga/3/268068.jpg?s=ce15f719701ea5d2f3be0685cda17675,,,,
,LLLL,Manga,1,2012,2012,https://myanimelist.net/manga/61429/LLLL,https://cdn.myanimelist.net/r/100x140/images/manga/3/105849.jpg?s=eefc48e4bc3fb0942f0a4ac4f82a174d,,,,
,Papillon: Hana to Chou,Manga,8,2007,2009,https://myanimelist.net/manga/1662/Papillon__Hana_to_Chou,https://cdn.myanimelist.net/r/100x140/images/manga/3/129871.jpg?s=a765548bae327b23d4d5192ec0e26391,,,,
,Ten kara no Okurimono,Manga,1,2008,2008,https://myanimelist.net/manga/16478/Ten_kara_no_Okurimono,https://cdn.myanimelist.net/r/100x140/images/manga/5/51119.jpg?s=6d5a41aab43d170cfe49abc42fca9864,,,,
,Until You Fall Asleep,Manhwa,,,,https://myanimelist.net/manga/46480/Until_You_Fall_Asleep,https://cdn.myanimelist.net/r/100x140/images/manga/2/82252.jpg?s=c404d9a4b386c8605e00ad56f5a208b3,,,,
,Magical☆Change,Manga,3,2010,2013,https://myanimelist.net/manga/57131/Magical☆Change,https://cdn.myanimelist.net/r/100x140/images/manga/3/222013.jpg?s=c6a96d982a4c7f44c80d4947ba4b51c1,,,,
,Mr. Mallow Blue,Manga,,2019,,https://myanimelist.net/manga/126926/Mr_Mallow_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/3/238180.jpg?s=fe1dcfb08fff0614bfe6aa8d9905c843,,,,
,Koutei-tsuki Nyokan wa Hanayome toshite Nozomarechuu,Manga,,2019,,https://myanimelist.net/manga/123513/Koutei-tsuki_Nyokan_wa_Hanayome_toshite_Nozomarechuu,https://cdn.myanimelist.net/r/100x140/images/manga/3/234660.jpg?s=aba9724c8e7dd5fb53164684de82129e,,,,
,-50kg no Cinderella,Manga,6,2018,2021,https://myanimelist.net/manga/131635/-50kg_no_Cinderella,https://cdn.myanimelist.net/r/100x140/images/manga/2/253411.jpg?s=2a1e2b8e0640e68cd3fa8acb3b1a8610,,,,
,Toshi to Mahou wa Kiss Shidai,Manga,4,2021,2022,https://myanimelist.net/manga/139323/Toshi_to_Mahou_wa_Kiss_Shidai,https://cdn.myanimelist.net/r/100x140/images/manga/1/250093.jpg?s=6044823e1d26d178c077c247d5f06fe6,,,,
,Genocider,Manga,4,2013,2015,https://myanimelist.net/manga/56461/Genocider,https://cdn.myanimelist.net/r/100x140/images/manga/3/167795.jpg?s=fae976e59f641cd56c0f1825ee5f6700,,,,
,Let's Bible!,Manga,,2005,2008,https://myanimelist.net/manga/3518/Lets_Bible,https://cdn.myanimelist.net/r/100x140/images/manga/5/10093.jpg?s=5d18fd367ecb688bfb431a5174e8381d,,,,
,Kiss Yori mo Ijiwaru,Manga,1,,,https://myanimelist.net/manga/6086/Kiss_Yori_mo_Ijiwaru,https://cdn.myanimelist.net/r/100x140/images/manga/3/264409.jpg?s=5518eae7bfb05eb22e01480ce743207f,,,,
,Soutaisei Moteron,Manga,2,2012,2013,https://myanimelist.net/manga/47567/Soutaisei_Moteron,https://cdn.myanimelist.net/r/100x140/images/manga/1/83857.jpg?s=ab953ded9b07d7553d3e8005272b8f09,,,,
,Doumu,Manga,1,1980,1981,https://myanimelist.net/manga/1215/Doumu,https://cdn.myanimelist.net/r/100x140/images/manga/1/153281.jpg?s=7db5c70981aa277de5d583d3900035fe,,,,
,Hachimitsu to Clover,Manga,10,2000,2006,https://myanimelist.net/manga/1009/Hachimitsu_to_Clover,https://cdn.myanimelist.net/r/100x140/images/manga/3/184591.jpg?s=032a45de1dde3cb6ab6de95f384b3753,,,,
,Kimi no Hada wo Kowasu Yoru,Manga,1,,,https://myanimelist.net/manga/35613/Kimi_no_Hada_wo_Kowasu_Yoru,https://cdn.myanimelist.net/r/100x140/images/manga/2/64587.jpg?s=1fec3f862ab2bd45d93ae6641c72bd0b,,,,
,Pray for Japan,Doujinshi,1,2011,2011,https://myanimelist.net/manga/87623/Pray_for_Japan,https://cdn.myanimelist.net/r/100x140/images/manga/1/152443.jpg?s=4790ee154d1a2bb4777549ef1a27f531,,,,
,Dousoukai,One-shot,,2015,2015,https://myanimelist.net/manga/98841/Dousoukai,https://cdn.myanimelist.net/r/100x140/images/manga/3/178382.jpg?s=c685700c45fb5092a3871e1b10e2f7e0,,,,
,Honya no Yagi-kun,Manga,1,2017,2018,https://myanimelist.net/manga/144556/Honya_no_Yagi-kun,https://cdn.myanimelist.net/r/100x140/images/manga/1/256576.jpg?s=4ea5872a2a08e67298957b49520003a2,,,,
,.hack//Alcor: Hagun no Jokyoku,Manga,1,2006,2007,https://myanimelist.net/manga/1819/hack__Alcor__Hagun_no_Jokyoku,https://cdn.myanimelist.net/r/100x140/images/manga/1/162793.jpg?s=0369e30bf1cd9c59e9dabc85d29ee346,,,,
,Isekai de Shippai shinai 100 no Houhou,Manga,,2017,,https://myanimelist.net/manga/118596/Isekai_de_Shippai_shinai_100_no_Houhou,https://cdn.myanimelist.net/r/100x140/images/manga/2/229686.jpg?s=9a853013ea0062064c6f8d11918e4947,,,,
,Maya-san no Yofukashi,Manga,3,2016,2017,https://myanimelist.net/manga/111062/Maya-san_no_Yofukashi,https://cdn.myanimelist.net/r/100x140/images/manga/1/203735.jpg?s=c82bade7a4c9ae5ee91e6a772f3cb65d,,,,
,Crown,Manga,6,2005,2008,https://myanimelist.net/manga/5067/Crown,https://cdn.myanimelist.net/r/100x140/images/manga/1/18128.jpg?s=53ad0da66e37fe364486891454cb4e40,,,,
,Housekeeper,Manhwa,,2019,,https://myanimelist.net/manga/147348/Housekeeper,https://cdn.myanimelist.net/r/100x140/images/manga/3/261324.jpg?s=b74b2bf8f555a022383d720f58a44fb8,,,,
,Tomodachi no Hanashi,Manga,1,2009,2010,https://myanimelist.net/manga/24821/Tomodachi_no_Hanashi,https://cdn.myanimelist.net/r/100x140/images/manga/1/187387.jpg?s=258307914d1805cb294b643c36f21699,,,,
,Ba_ku,Manga,1,2003,2003,https://myanimelist.net/manga/139/Ba_ku,https://cdn.myanimelist.net/r/100x140/images/manga/3/160715.jpg?s=2d06ce935aa1988dd65899640aeafde5,,,,
,Five,Manga,15,,2011,https://myanimelist.net/manga/3140/Five,https://cdn.myanimelist.net/r/100x140/images/manga/3/9661.jpg?s=438f6cee51717990624edc72e38a4c30,,,,
,Utsukushii Mono-tachi,One-shot,,2018,2018,https://myanimelist.net/manga/114472/Utsukushii_Mono-tachi,https://cdn.myanimelist.net/r/100x140/images/manga/3/224272.jpg?s=6375b6c03a1079cc49215664f834f98d,,,,
,Tomodachi Ijou,Manga,1,2010,2011,https://myanimelist.net/manga/36771/Tomodachi_Ijou,https://cdn.myanimelist.net/r/100x140/images/manga/1/66371.jpg?s=f6a9d1f2f3cf77cf3f2359653ed7ceca,,,,
,Rain Kiss,One-shot,,,,https://myanimelist.net/manga/5415/Rain_Kiss,https://cdn.myanimelist.net/r/100x140/images/manga/1/6839.jpg?s=62d27866a6a5ae7458a86f2c364b5b31,,,,
,Ga-Rei,Manga,12,2005,2010,https://myanimelist.net/manga/1102/Ga-Rei,https://cdn.myanimelist.net/r/100x140/images/manga/2/185812.jpg?s=5eac74e64698b750a70f6c309c731664,,,,
,Ai no Joou: Butai Joyuu Satsujin Jiken,Manga,1,,,https://myanimelist.net/manga/3343/Ai_no_Joou__Butai_Joyuu_Satsujin_Jiken,https://cdn.myanimelist.net/r/100x140/images/manga/1/3699.jpg?s=6a0f38cb10ff84b974cf1ad225d79760,,,,
,Touhou Sangetsusei: Strange and Bright Nature Deity,Manga,3,2006,2009,https://myanimelist.net/manga/11929/Touhou_Sangetsusei__Strange_and_Bright_Nature_Deity,https://cdn.myanimelist.net/r/100x140/images/manga/1/171909.jpg?s=b22f94c5a963b6702f146a0806a642f1,,,,
,Gareki no Eden,Manga,1,,,https://myanimelist.net/manga/6871/Gareki_no_Eden,https://cdn.myanimelist.net/r/100x140/images/manga/3/11242.jpg?s=33a61b0c5740ebb6cff501cda7211dd4,,,,
,Kyupiko!: Fushimatsu Tenshi no Mismanagement,Manga,5,2012,2014,https://myanimelist.net/manga/70899/Kyupiko__Fushimatsu_Tenshi_no_Mismanagement,https://cdn.myanimelist.net/r/100x140/images/manga/1/182653.jpg?s=d3a3d27c633005ee410142ef814bb0ad,,,,
,Hotarubi no Mori e Aizouban,Manga,,2003,2005,https://myanimelist.net/manga/101004/Hotarubi_no_Mori_e_Aizouban,https://cdn.myanimelist.net/r/100x140/images/manga/2/224287.jpg?s=f736482327d271f3d73d5f5ba842817d,,,,
,Fujiyama-san wa Shishunki,Manga,8,2012,2015,https://myanimelist.net/manga/60095/Fujiyama-san_wa_Shishunki,https://cdn.myanimelist.net/r/100x140/images/manga/4/270845.jpg?s=6e9e61672a19b121f128e230eeb9cd95,,,,
,Takarakuji de 40-oku Atattanda kedo Isekai ni Ijuusuru,Manga,,2016,,https://myanimelist.net/manga/104032/Takarakuji_de_40-oku_Atattanda_kedo_Isekai_ni_Ijuusuru,https://cdn.myanimelist.net/r/100x140/images/manga/1/194831.jpg?s=912981b0aa727a7e5cd66508183337e4,,,,
,Shippo no Koi,Manga,1,2020,2021,https://myanimelist.net/manga/145377/Shippo_no_Koi,https://cdn.myanimelist.net/r/100x140/images/manga/2/257939.jpg?s=cae06ddfac98efdcd20fd02f82058c38,,,,
,Can't See Can't Hear But Love,Manhwa,6,2010,2011,https://myanimelist.net/manga/35171/Cant_See_Cant_Hear_But_Love,https://cdn.myanimelist.net/r/100x140/images/manga/1/268900.jpg?s=bcff2f4c5da1e4a2b24e7314cfba2d4c,,,,
,Dancing Baby Karin,Manga,2,2006,2007,https://myanimelist.net/manga/11828/Dancing_Baby_Karin,https://cdn.myanimelist.net/r/100x140/images/manga/1/16124.jpg?s=5b9eb9def81a216a3073d1ed82890b8a,,,,
,Phi Brain: Kami no Puzzle,Manga,2,2011,2012,https://myanimelist.net/manga/42769/Phi_Brain__Kami_no_Puzzle,https://cdn.myanimelist.net/r/100x140/images/manga/3/74737.jpg?s=fc0162c19de5ddad3324e50b37626bcd,,,,
,Otome Youkai Zakuro,Manga,,2006,,https://myanimelist.net/manga/9084/Otome_Youkai_Zakuro,https://cdn.myanimelist.net/r/100x140/images/manga/3/12411.jpg?s=e1c22f1e5c464f034b9a4e0fc36c6148,,,,
,Gyakushuu no Dragon Rider,Manga,1,2013,2013,https://myanimelist.net/manga/59273/Gyakushuu_no_Dragon_Rider,https://cdn.myanimelist.net/r/100x140/images/manga/2/170724.jpg?s=b6a3c8d7ff018fb7da789d72398c170b,,,,
,Satsuriku no Tenshi,Manga,12,2015,2020,https://myanimelist.net/manga/96525/Satsuriku_no_Tenshi,https://cdn.myanimelist.net/r/100x140/images/manga/1/172199.jpg?s=1c701943950249f740fb625bc99160ba,,,,
,Sumire♡17-sai!!,Manga,2,2005,2006,https://myanimelist.net/manga/11942/Sumire♡17-sai,https://cdn.myanimelist.net/r/100x140/images/manga/1/116283.jpg?s=3038a2ed2e51de6e66fb6a6f1e94f85c,,,,
,Koibito Play,Manga,2,1997,1999,https://myanimelist.net/manga/17322/Koibito_Play,https://cdn.myanimelist.net/r/100x140/images/manga/1/177125.jpg?s=d45b6f6f92348ca69d7116541487cc3f,,,,
,Shota Oni,Manga,,2021,,https://myanimelist.net/manga/142301/Shota_Oni,https://cdn.myanimelist.net/r/100x140/images/manga/2/263316.jpg?s=1ba77e27cf9ddeb5c45171e342dc273c,,,,
